Gene	Associated phenotypes	Inheritance	ClinVar	HGMD
ABCA7	Alzheimer disease	AD	1	139
APOE	Sea-blue histiocyte disease, Dysbetalipoproteinemia, familial (Hyperlipoproteinemia), Lipoprotein glomerulopathy	AD/AR	31	55
APP	Alzheimer disease, Cerebral amyloid angiopathy	AD/AR	18	100
CHMP2B	Amyotrophic lateral sclerosis, CHMP2B-related, Frontotemporal dementia	AD	6	21
CSF1R	Leukoencephalopathy, diffuse hereditary, with spheroids	AD	56	83
FUS	Amyotrophic lateral sclerosis, Essential tremor	AD/AR	22	111
GRN	Frontotemporal lobar degeneration with TDP43 inclusions, GRN-related, Neuronal ceroid lipofuscinosis	AD/AR	43	214
MAPT	Pick disease, Frontotemporal dementia, Parkinson-dementia syndrome, Supranuclear palsy, progressive	AD/AR	26	104
MT-ATP6	Neuropathy, ataxia, and retinitis pigmentosa, Leber hereditary optic neuropathy, Ataxia and polyneuropathy, adult-onset, Cardiomyopathy, infantile hypertrophic, Leigh syndrome, Striatonigral degeneration, infantile, mitochondrial	Mitochondrial	19	
MT-ATP8	Cardiomyopathy, apical hypertrophic, and neuropathy, Cardiomyopathy, infantile hypertrophic	Mitochondrial	4	
MT-CO1	Myoglobinuria, recurrent, Leber hereditary optic neuropathy, Sideroblastic anemia, Cytochrome C oxidase deficiency, Deafness, mitochondrial	Mitochondrial	17	
MT-CO2	Cytochrome c oxidase deficiency	Mitochondrial	8	
MT-CO3	Cytochrome c oxidase deficiency, Leber hereditary optic neuropathy	Mitochondrial	9	
MT-CYB		Mitochondrial	69	
MT-ND1	Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes, Leber hereditary optic neuropathy, Leber optic atrophy and dystonia	Mitochondrial	21	
MT-ND2	Leber hereditary optic neuropathy, Mitochondrial complex I deficiency	Mitochondrial	6	
MT-ND3	Leber optic atrophy and dystonia, Mitochondrial complex I deficiency	Mitochondrial	7	
MT-ND4	Leber hereditary optic neuropathy, Leber optic atrophy and dystonia, Mitochondrial complex I deficiency	Mitochondrial	11	
MT-ND4L	Leber hereditary optic neuropathy	Mitochondrial	2	
MT-ND5	Myoclonic epilepsy with ragged red fibers, Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes, Leber hereditary optic neuropathy, Mitochondrial complex I deficiency	Mitochondrial	19	
MT-ND6	Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes, Oncocytoma, Leber hereditary optic neuropathy, Leber optic atrophy and dystonia, Mitochondrial complex I deficiency	Mitochondrial	16	
MT-RNR1	Deafness, mitochondrial	Mitochondrial	3	
MT-RNR2	Chloramphenicol toxicity/resistance	Mitochondrial	2	
MT-TA		Mitochondrial	4	
MT-TC	Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes	Mitochondrial	3	
MT-TD		Mitochondrial	1	
MT-TE	Diabetes-deafness syndrome, Mitochondrial myopathy, infantile, transient, Mitochondrial myopathy with diabetes	Mitochondrial	5	
MT-TF	Myoclonic epilepsy with ragged red fibers, Nephropathy, tubulointerstitial, Encephalopathy, mitochondrial, Epilepsy, mitochondrial, Myopathy, mitochondrial, Mitochondrial encephalomyopathy with lactic acidosis and stroke-like episodes	Mitochondrial	7	
MT-TG		Mitochondrial	3	
MT-TH		Mitochondrial	4	
MT-TI		Mitochondrial	7	
MT-TK	Myoclonic epilepsy with ragged red fibers, Leigh syndrome	Mitochondrial	5	
MT-TL1	Cytochrome c oxidase deficiency, Myoclonic epilepsy with ragged red fibers, Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes, Diabetes-deafness syndrome, Cyclic vomiting syndrome, SIDS, susceptibility to	Mitochondrial	14	
MT-TL2	Mitochondrial multisystemic disorder, Progressive external ophthalmoplegia, Mitochondrial Myopathy, Mitochondrial encephalomyopathy with lactic acidosis and stroke-like episodes	Mitochondrial	5	
MT-TM	Leigh syndrome, Mitochondrial multisystemic disorder	Mitochondrial	1	
MT-TN	Progressive external ophthalmoplegia, Mitochondrial multisystemic disorder	Mitochondrial	3	
MT-TP		Mitochondrial	2	
MT-TQ	Mitochondrial multisystemic disorder	Mitochondrial	2	
MT-TR	Encephalopathy, mitochondrial	Mitochondrial	2	
MT-TS1	Myoclonic epilepsy with ragged red fibers, Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes	Mitochondrial	10	
MT-TS2	Mitochondrial multisystemic disorder	Mitochondrial	2	
MT-TT		Mitochondrial	5	
