Gene	Associated phenotypes	Inheritance	ClinVar	HGMD
ATP13A2	Parkinson disease (Kufor-Rakeb syndrome)	AR	21	40
ATP1A3	Alternating hemiplegia of childhood, Dystonia 12	AD	79	112
ATP7B	Wilson disease	AR	219	897
C19ORF12	Spastic Paraplegia, Neurodegeneration with brain iron accumulation	AR	15	37
CHCHD10	Myopathy, isolated mitochondrial, Frontotemporal dementia and/or amyotrophic lateral sclerosis 2, Spinal muscular atrophy, Jokela type	AD	4	26
CHCHD2	Parkinson disease 22, autosomal dominant	AD	4	12
CP	Aceruloplasminemia, Hypoceruloplasminemia	AR	62	57
CSF1R	Leukoencephalopathy, diffuse hereditary, with spheroids	AD	56	83
DCTN1	Perry syndrome, Neuropathy, distal hereditary motor	AD	10	52
DNAJC12	Hyperphenylalaninemia, mild, non-BH4-deficient, Dystonia, Other hyperphenylalaninemias	AR	3	8
DNAJC5	Kufs disease,, Ceroid lipofuscinosis, neuronal 4, Parry	AD	2	2
DNAJC6	Juvenile Parkinsonism	AR	5	14
FBXO7	Parkinson disease	AR	5	15
FTL	Hyperferritinemia-cataract syndrome, L-ferritin deficiency, Neurodegeneration with brain iron accumulation	AD/AR	21	63
GBA	Gaucher disease	AR	84	488
GCH1	Dopa-Responsive Dystonia Hyperphenylalaninemia, BH4-deficient, GTP Cyclohydrolase 1-Deficient Dopa-Responsive Dystonia	AD/AR	48	240
GRN	Frontotemporal lobar degeneration with TDP43 inclusions, GRN-related, Neuronal ceroid lipofuscinosis	AD/AR	43	214
LRRK2	Dementia, Lewy body, Parkinson disease	AD	14	123
MAPT	Pick disease, Frontotemporal dementia, Parkinson-dementia syndrome, Supranuclear palsy, progressive	AD/AR	26	104
MT-ATP6	Neuropathy, ataxia, and retinitis pigmentosa, Leber hereditary optic neuropathy, Ataxia and polyneuropathy, adult-onset, Cardiomyopathy, infantile hypertrophic, Leigh syndrome, Striatonigral degeneration, infantile, mitochondrial	Mitochondrial	19	
MT-ATP8	Cardiomyopathy, apical hypertrophic, and neuropathy, Cardiomyopathy, infantile hypertrophic	Mitochondrial	4	
MT-CO1	Myoglobinuria, recurrent, Leber hereditary optic neuropathy, Sideroblastic anemia, Cytochrome C oxidase deficiency, Deafness, mitochondrial	Mitochondrial	17	
MT-CO2	Cytochrome c oxidase deficiency	Mitochondrial	8	
MT-CO3	Cytochrome c oxidase deficiency, Leber hereditary optic neuropathy	Mitochondrial	9	
MT-CYB		Mitochondrial	69	
MT-ND1	Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes, Leber hereditary optic neuropathy, Leber optic atrophy and dystonia	Mitochondrial	21	
MT-ND2	Leber hereditary optic neuropathy, Mitochondrial complex I deficiency	Mitochondrial	6	
MT-ND3	Leber optic atrophy and dystonia, Mitochondrial complex I deficiency	Mitochondrial	7	
