symbol,disease,panel,panel_name,evidence_level
ACE,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),strong
APP,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CHD8,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),definitive
NRXN2,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),moderate
ADAM10,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
GSK3B,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
HFE,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),strong
APOE,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MAPT,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
TREM2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),limited
PSEN1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
GCH1,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
SNCA,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CNTNAP2,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
SHANK3,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
PLAU,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SERAC1,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
BACE1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
IDE,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
IL1B,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
INSR,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
LEP,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
NPY,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
BCL2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
BDNF,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CASP3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
THAP1,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
PRKRA,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
PARK7,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
