Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Alzheimer's Disease	C0002395	ACE	1636	P12821	angiotensin I converting enzyme	Enzyme	1082	0.328	0.923	1.0344e-37	0.9	strong	0.915	94	8	1998.0	2020.0
Alzheimer's Disease	C0002395	APP	351	P05067	amyloid beta precursor protein	Enzyme modulator	485	0.422	0.846	0.046544	0.9		0.981	2575	61	1987.0	2020.0
Autism Spectrum Disorders	C1510586	CHD8	57680	Q9HCK8	chromodomain helicase DNA binding protein 8		66	0.656	0.577	1.0	0.8	definitive	0.974	38	0	2012.0	2020.0
Autism Spectrum Disorders	C1510586	NRXN2	9379	P58401;Q9P2S2	neurexin 2		18	0.769	0.308	0.99934	0.74	moderate	1.0	5	0	2011.0	2018.0
Alzheimer's Disease	C0002395	ADAM10	102	O14672	ADAM metallopeptidase domain 10		224	0.489	0.846	1.0	0.7		0.986	74	8	2000.0	2019.0
Alzheimer's Disease	C0002395	GSK3B	2932	P49841	glycogen synthase kinase 3 beta	Kinase	393	0.43	0.846	0.95571	0.7		0.982	113	4	2000.0	2020.0
Alzheimer's Disease	C0002395	HFE	3077	Q30201	homeostatic iron regulator		415	0.436	0.846	2.5587e-08	0.7	strong	0.963	27	3	2001.0	2018.0
Alzheimer's Disease	C0002395	APOE	348	P02649	apolipoprotein E		1049	0.338	0.962	0.0018685	0.7		0.946	3042	25	1991.0	2020.0
Alzheimer's Disease	C0002395	MAPT	4137	P10636	microtubule associated protein tau		469	0.446	0.923	0.0060258	0.7		0.99	997	23	1988.0	2020.0
Alzheimer's Disease	C0002395	TREM2	54209	Q9NZC2	triggering receptor expressed on myeloid cells 2		239	0.519	0.769	3.2892e-09	0.7	limited	0.977	214	13	2007.0	2020.0
Alzheimer's Disease	C0002395	PSEN1	5663	P49768	presenilin 1	Enzyme	369	0.469	0.846	0.97322	0.7		0.971	682	62	1990.0	2020.0
Dystonia	C0013421	GCH1	2643	P30793	GTP cyclohydrolase 1	Enzyme	254	0.511	0.846	0.90292	0.7		0.982	55	3	1991.0	2019.0
Parkinson Disease	C0030567	SNCA	6622	P37840	synuclein alpha	Transporter	449	0.427	0.885	0.8829	0.7		0.983	2577	53	1997.0	2020.0
Autism Spectrum Disorders	C1510586	CNTNAP2	26047	Q9UHC6	contactin associated protein 2		203	0.53	0.846	2.8673e-09	0.7		0.976	42	5	2008.0	2020.0
Autism Spectrum Disorders	C1510586	SHANK3	85358	Q9BYB0	SH3 and multiple ankyrin repeat domains 3		169	0.55	0.731	1.0	0.7		0.976	84	8	2007.0	2020.0
Alzheimer's Disease	C0002395	PLAU	5328	P00749	plasminogen activator, urokinase	Enzyme	439	0.425	0.923	2.3058e-06	0.68		1.0	8	1	2002.0	2013.0
Dystonia	C0013421	SERAC1	84947	Q96JX3	serine active site containing 1		55	0.686	0.385	3.9339e-06	0.62		1.0	5	0	2006.0	2018.0
Alzheimer's Disease	C0002395	BACE1	23621	P56817	beta-secretase 1	Enzyme	120	0.559	0.769	0.87888	0.6		0.985	472	4	1999.0	2020.0
Alzheimer's Disease	C0002395	IDE	3416	P14735	insulin degrading enzyme	Enzyme	71	0.604	0.577	0.0066309	0.6		0.955	88	9	2000.0	2019.0
Alzheimer's Disease	C0002395	IL1B	3553	P01584	interleukin 1 beta		1801	0.276	0.962	0.13005	0.6		0.966	116	0	1989.0	2020.0
Alzheimer's Disease	C0002395	INSR	3643	P06213	insulin receptor	Kinase	452	0.432	0.846	3.6145e-05	0.6		1.0	34	0	2002.0	2020.0
Alzheimer's Disease	C0002395	LEP	3952	P41159	leptin		931	0.349	0.846	0.46491	0.6		0.944	36	0	2004.0	2019.0
Alzheimer's Disease	C0002395	NPY	4852	P01303	neuropeptide Y	Signaling	381	0.447	0.846	0.14294	0.6		0.833	12	0	2000.0	2018.0
Alzheimer's Disease	C0002395	BCL2	596	P10415	BCL2 apoptosis regulator	Signaling	1456	0.291	0.885	0.55903	0.6		1.0	32	1	1996.0	2019.0
Alzheimer's Disease	C0002395	BDNF	627	P23560	brain derived neurotrophic factor	Signaling	992	0.345	0.923	0.65626	0.6		0.958	239	10	1991.0	2020.0
Alzheimer's Disease	C0002395	CASP3	836	P42574	caspase 3	Enzyme	819	0.351	0.923	0.10017	0.6		0.98	50	2	1999.0	2020.0
Dystonia	C0013421	THAP1	55145	Q9NVV9	THAP domain containing 1		51	0.644	0.462	0.80123	0.6		0.964	55	2	1999.0	2019.0
Dystonia	C0013421	PRKRA	8575	O75569	protein activator of interferon induced protein kinase EIF2AK2	Kinase	113	0.579	0.615	0.41653	0.6		1.0	15	1	2008.0	2018.0
Parkinson Disease	C0030567	PARK7	11315	Q99497	Parkinsonism associated deglycase	Enzyme	161	0.535	0.808	0.75335	0.6		0.973	110	8	2003.0	2020.0
Parkinson Disease	C0030567	DDC	1644	P20711	dopa decarboxylase		164	0.535	0.769	3.7519e-08	0.6		1.0	28	0	1988.0	2019.0
Parkinson Disease	C0030567	DRD2	1813	P14416	dopamine receptor D2	G-protein coupled receptor	437	0.436	0.846	0.74709	0.6		0.931	58	3	1995.0	2020.0
Parkinson Disease	C0030567	ATP13A2	23400	Q9NQ11	ATPase cation transporting 13A2		160	0.566	0.577	8.9582e-09	0.6	strong	0.946	56	4	2007.0	2019.0
Parkinson Disease	C0030567	MAOB	4129	P27338	monoamine oxidase B		152	0.533	0.808	0.99903	0.6		0.991	110	1	1993.0	2020.0
Parkinson Disease	C0030567	PRKN	5071	O60260	parkin RBR E3 ubiquitin protein ligase	Enzyme	409	0.431	0.846	6.9346e-07	0.6		0.974	304	20	1998.0	2020.0
Parkinson Disease	C0030567	PINK1	65018	Q9BXM7	PTEN induced kinase 1	Kinase	209	0.516	0.769	1.8749e-10	0.6		0.987	376	12	2002.0	2020.0
Parkinson Disease	C0030567	SLC18A2	6571	Q05940	solute carrier family 18 member A2	Transporter	150	0.554	0.769	0.075523	0.6		0.966	29	1	1996.0	2020.0
Parkinson Disease	C0030567	TH	7054	P07101	tyrosine hydroxylase		321	0.462	0.885	1.6878e-06	0.6		0.979	141	3	1989.0	2020.0
Autism Spectrum Disorders	C1510586	NLGN3	54413	Q9NZ94	neuroligin 3		63	0.653	0.462	0.97641	0.6	strong	0.96	25	5	2003.0	2019.0
Autism Spectrum Disorders	C1510586	NRXN1	9378	P58400;Q9ULB1	neurexin 1		139	0.581	0.692	0.99964	0.6		1.0	31	2	2008.0	2019.0
Autism Spectrum Disorders	C1510586	EN2	2020	P19622	engrailed homeobox 2	Transcription factor	41	0.674	0.462	0.63448	0.59		1.0	10	5	2004.0	2019.0
Alzheimer's Disease	C0002395	IGF2	3481	P01344	insulin like growth factor 2		604	0.39	0.885	0.044127	0.57		1.0	9	0	2002.0	2019.0
Parkinson Disease	C0030567	DRD1	1812	P21728	dopamine receptor D1	G-protein coupled receptor	181	0.529	0.808	0.9555	0.57		1.0	10	0	1996.0	2020.0
Alzheimer's Disease	C0002395	IGF1R	3480	P08069	insulin like growth factor 1 receptor	Kinase	556	0.399	0.885	0.96799	0.56		1.0	9	0	2005.0	2020.0
Autism Spectrum Disorders	C1510586	DLG4	1742	P78352	discs large MAGUK scaffold protein 4	Receptor	91	0.595	0.654	0.99954	0.55		1.0	5	0	2010.0	2019.0
Alzheimer's Disease	C0002395	ATP5F1A	498	P25705	ATP synthase F1 subunit alpha	Transporter	84	0.604	0.731	0.99945	0.54		1.0	6	0	2003.0	2017.0
Autism Spectrum Disorders	C1510586	GABRB3	2562	P28472	gamma-aminobutyric acid type A receptor subunit beta3	Ion channel	139	0.546	0.615	0.95138	0.54		1.0	5	2	2005.0	2018.0
Alzheimer's Disease	C0002395	INS	3630	P01308	insulin		405	0.445	0.923	0.30091	0.53		1.0	6	0	1991.0	2020.0
Autism Spectrum Disorders	C1510586	SCN1A	6323	P35498	sodium voltage-gated channel alpha subunit 1	Ion channel	287	0.477	0.808	1.0	0.53		1.0	4	1	2011.0	2018.0
Alzheimer's Disease	C0002395	BAX	581	Q07812	BCL2 associated X, apoptosis regulator	Signaling	420	0.417	0.885	0.31746	0.52		1.0	8	0	1997.0	2018.0
Parkinson Disease	C0030567	IGF1R	3480	P08069	insulin like growth factor 1 receptor	Kinase	556	0.399	0.885	0.96799	0.51		1.0	3	0	2009.0	2019.0
Alzheimer's Disease	C0002395	ABCA7	10347	Q8IZY2	ATP binding cassette subfamily A member 7	Transporter	70	0.644	0.577	2.1111e-55	0.5		0.985	65	13	2011.0	2019.0
Alzheimer's Disease	C0002395	TOMM40	10452	O96008	translocase of outer mitochondrial membrane 40	Transporter	113	0.59	0.538	0.99218	0.5		0.978	92	29	2009.0	2020.0
Alzheimer's Disease	C0002395	CLU	1191	P10909	clusterin		412	0.426	0.885	7.8072e-05	0.5		0.94	133	8	1991.0	2020.0
Alzheimer's Disease	C0002395	CR1	1378	P17927	complement C3b/C4b receptor 1 (Knops blood group)		129	0.533	0.808	1.6488e-35	0.5		0.971	35	13	2009.0	2019.0
Alzheimer's Disease	C0002395	A2M	2	P01023	alpha-2-macroglobulin	Enzyme modulator	147	0.529	0.769	4.5229e-11	0.5		0.769	39	2	1998.0	2018.0
Alzheimer's Disease	C0002395	EPHA1	2041	P21709	EPH receptor A1	Kinase	119	0.544	0.731	1.4624e-23	0.5		0.933	15	3	2009.0	2019.0
Alzheimer's Disease	C0002395	CD2AP	23607	Q9Y5K6	CD2 associated protein		113	0.558	0.731	0.22989	0.5		1.0	21	2	2011.0	2019.0
Alzheimer's Disease	C0002395	BIN1	274	O00499	bridging integrator 1		163	0.55	0.692	0.77822	0.5		0.98	51	7	2011.0	2020.0
Alzheimer's Disease	C0002395	APOC1	341	P02654	apolipoprotein C1		95	0.581	0.577	0.21685	0.5		1.0	20	8	1999.0	2019.0
Alzheimer's Disease	C0002395	MPO	4353	P05164	myeloperoxidase	Enzyme	653	0.377	0.923	7.105e-15	0.5		1.0	13	2	1999.0	2019.0
Alzheimer's Disease	C0002395	NOS3	4846	P29474	nitric oxide synthase 3		706	0.378	0.885	6.7246e-07	0.5		0.9	20	1	1999.0	2018.0
Alzheimer's Disease	C0002395	PSEN2	5664	P49810	presenilin 2	Enzyme	146	0.55	0.654	0.00053736	0.5		0.977	177	12	1995.0	2020.0
Alzheimer's Disease	C0002395	SORL1	6653	Q92673	sortilin related receptor 1	Transporter	103	0.582	0.692	7.6609e-11	0.5		0.973	111	18	2004.0	2020.0
Alzheimer's Disease	C0002395	PICALM	8301	Q13492	phosphatidylinositol binding clathrin assembly protein	Transporter	79	0.592	0.538	0.99896	0.5		0.947	75	19	2009.0	2019.0
Dystonia	C0013421	TUBB4A	10382	P04350	tubulin beta 4A class IVa	Cellular structure	107	0.608	0.615	0.1091	0.5		1.0	15	1	2011.0	2018.0
Dystonia	C0013421	TOR1A	1861	O14656	torsin family 1 member A	Chaperone	115	0.566	0.731	0.00050557	0.5		0.973	219	8	1991.0	2019.0
Dystonia	C0013421	ATP1A3	478	P13637	ATPase Na+/K+ transporting subunit alpha 3	Transporter	174	0.544	0.615	1.0	0.5		1.0	16	2	1999.0	2016.0
Dystonia	C0013421	TH	7054	P07101	tyrosine hydroxylase		321	0.462	0.885	1.6878e-06	0.5		1.0	31	6	1989.0	2019.0
Dystonia	C0013421	PANK2	80025	Q9BZ23	pantothenate kinase 2	Kinase	171	0.559	0.808	7.4034e-07	0.5	strong	1.0	15	1	2001.0	2019.0
Dystonia	C0013421	KMT2B	9757	Q9UMN6	lysine methyltransferase 2B		193	0.529	0.808	1.0	0.5		1.0	13	3	2016.0	2019.0
Multiple Sclerosis	C0026769	CLEC16A	23274	Q2KHT3	C-type lectin domain containing 16A		67	0.612	0.654	0.27595	0.5		1.0	29	16	2009.0	2020.0
