Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACTB	gene	ACTB	Expert Review Green;Royal Melbourne Hospital	Dystonia - complex		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Baraitser-Winter syndrome 1, 243310;Dystonia, juvenile-onset, 607371			Dystonia;HP:0001332	29788902;28487785		False	3	100;0;0	0.232	True	Other	ENSG00000075624	ENSG00000075624	HGNC:132													
ADAR	gene	ADAR	Expert Review Green;Royal Melbourne Hospital	Dystonia - complex		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	dystonia;Aicardi-Goutieres syndrome 6, 615010			Dystonia;HP:0001332			False	3	0;0;0	0.232	False		ENSG00000160710	ENSG00000160710	HGNC:225													
APTX	gene	APTX	Expert Review Green;Royal Melbourne Hospital	Dystonia - complex		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Ataxia-oculomotor apraxia type 1;Dystonia			Dystonia;HP:0001332			False	3	0;0;0	0.232	False		ENSG00000137074	ENSG00000137074	HGNC:15984													
ARSA	gene	ARSA	Expert list;Expert Review Green	Dystonia - complex		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Metachromatic leukodystrophy, MIM#250100			Dystonia;HP:0001332			False	3	100;0;0	0.232	True		ENSG00000100299	ENSG00000100299	HGNC:713													
ARX	gene	ARX	Expert Review Green;Royal Melbourne Hospital	Dystonia - complex		Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Partington syndrome, MIM# 309510;Dystonia			Dystonia;HP:0001332	11889467;15200506		False	3	100;0;0	0.232	True	Other	ENSG00000004848	ENSG00000004848	HGNC:18060													
ATM	gene	ATM	Expert Review Green;Royal Melbourne Hospital	Dystonia - complex		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Ataxia telangiectasia;Dystonia			Dystonia;HP:0001332			False	3	0;0;0	0.232	False		ENSG00000149311	ENSG00000149311	HGNC:795													
ATP13A2	gene	ATP13A2	Expert Review Green;Royal Melbourne Hospital	Dystonia - complex		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Parkinson disease;Kufor-Rakeb syndrome 606693;Dystonia			Dystonia;HP:0001332			False	3	0;0;0	0.232	False		ENSG00000159363	ENSG00000159363	HGNC:30213													
ATP2B2	gene	ATP2B2	Expert Review Green;Literature	Dystonia - complex		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Neurodevelopmental Disorder, MONDO:0700092, ATP2B2-related			Dystonia;HP:0001332	PMID: 37675773		False	3	100;0;0	0.232	True	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000157087	ENSG00000157087	HGNC:815													
ATP5G3	gene	ATP5G3	Expert Review Green;Literature	Dystonia - complex		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"Dystonia, early-onset, and/or spastic paraplegia, MIM#	619681"			Dystonia;HP:0001332	34636445;34954817		False	3	100;0;0	0.232	True		ENSG00000154518	ENSG00000154518	HGNC:843													
ATP7B	gene	ATP7B	Expert Review Green;Royal Melbourne Hospital	Dystonia - complex		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Wilson disease, MIM# 277900;Dystonia			Dystonia;HP:0001332	32662046		False	3	100;0;0	0.232	True		ENSG00000123191	ENSG00000123191	HGNC:870													
AUH	gene	AUH	Expert Review Green;Royal Melbourne Hospital	Dystonia - complex		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	3-Methylglutaconic aciduria type 1;Dystonia			Dystonia;HP:0001332			False	3	100;0;0	0.232	True		ENSG00000148090	ENSG00000148090	HGNC:890													
BCAP31	gene	BCAP31	Expert Review Green;Royal Melbourne Hospital	Dystonia - complex		Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Deafness, dystonia and cerebellar hypomyelination, 300475			Dystonia;HP:0001332			False	3	0;0;0	0.232	False		ENSG00000185825	ENSG00000185825	HGNC:16695													
C19orf12	gene	C19orf12	Expert Review Green;Royal Melbourne Hospital	Dystonia - complex		Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	mitochondrial membrane protein-associated neurodegeneration;neurodegeneration with brain iron accumulation-4;Dystonia			Dystonia;HP:0001332			False	3	0;0;0	0.232	False		ENSG00000131943	ENSG00000131943	HGNC:25443													
CACNA1A	gene	CACNA1A	Expert list;Expert Review Green	Dystonia - complex		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Episodic ataxia, type 2 MIM#108500;Spinocerebellar ataxia 6 MIM#183086			Dystonia;HP:0001332	25468264;23441182;19232643;18758887;11344116		False	3	100;0;0	0.232	True		ENSG00000141837	ENSG00000141837	HGNC:1388													
CACNA1G	gene	CACNA1G	Expert list;Expert Review Green	Dystonia - complex		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"Spinocerebellar ataxia 42, early-onset, severe, with neurodevelopmental deficits, MIM#	618087"			Dystonia;HP:0001332	29878067		False	3	100;0;0	0.232	True		ENSG00000006283	ENSG00000006283	HGNC:1394													
CAMK4	gene	CAMK4	Expert Review;Expert Review Green	Dystonia - complex		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Intellectual disability;Autism;Behavioral abnormality;Abnormality of movement;Dystonia;Ataxia;Chorea;Myoclonus			Dystonia;HP:0001332	30262571;33098801;33211350		False	3	100;0;0	0.232	True		ENSG00000152495	ENSG00000152495	HGNC:1464													
CLN3	gene	CLN3	Expert list;Expert Review Green	Dystonia - complex		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Ceroid lipofuscinosis, neuronal, 3	204200"			Dystonia;HP:0001332	19353721		False	3	100;0;0	0.232	True		ENSG00000188603	ENSG00000188603	HGNC:2074													
COASY	gene	COASY	Expert Review Green;Royal Melbourne Hospital	Dystonia - complex		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	COASY protein-associated neurodegeneration;Neurodegeneration with brain iron accumulation 6 615643			Dystonia;HP:0001332			False	3	0;0;0	0.232	False		ENSG00000068120	ENSG00000068120	HGNC:29932													
COQ8A	gene	COQ8A	Expert list;Expert Review Green	Dystonia - complex		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Coenzyme Q10 deficiency, primary, 4, MIM#	612016"			Dystonia;HP:0001332	32337771		False	3	100;0;0	0.232	True		ENSG00000163050	ENSG00000163050	HGNC:16812													
CP	gene	CP	Expert Review Green;Royal Melbourne Hospital;Victorian Clinical Genetics Services	Dystonia - complex		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Aceruloplasminaemia, MIM#604290			Dystonia;HP:0001332			False	3	100;0;0	0.232	True		ENSG00000047457	ENSG00000047457	HGNC:2295													
