Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ADAR	gene	ADAR	Expert Review Green;Literature	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Aicardi-Goutieres syndrome 6;neuroinflammatory disorder with cerebral calcification;progressive loss of cognition;spasticity;dystonia;parkinsonism;OMIM 615010			Abnormality of extrapyramidal motor function;HP:0002071	PMID: 32911246		False	3	100;0;0	0.264	True		ENSG00000160710	ENSG00000160710	HGNC:225													
ATP13A2	gene	ATP13A2	Expert Review Green;Melbourne Genomics Health Alliance Complex Neurology Flagship;Victorian Clinical Genetics Services	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	Unknown				Abnormality of extrapyramidal motor function;HP:0002071			False	3	100;0;0	0.264	False		ENSG00000159363	ENSG00000159363	HGNC:30213													
ATP1A3	gene	ATP1A3	Expert Review Green;Melbourne Genomics Health Alliance Complex Neurology Flagship;Victorian Clinical Genetics Services	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	Unknown				Abnormality of extrapyramidal motor function;HP:0002071			False	3	100;0;0	0.264	False		ENSG00000105409	ENSG00000105409	HGNC:801													
ATP6AP2	gene	ATP6AP2	Expert list;Expert Review Green	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	"Parkinsonism with spasticity, X-linked, MIM#	300911"			Abnormality of extrapyramidal motor function;HP:0002071	30985297;23595882		False	3	100;0;0	0.264	True		ENSG00000182220	ENSG00000182220	HGNC:18305													
ATP7B	gene	ATP7B	Expert list;Expert Review Green	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Wilson disease MIM#277900			Abnormality of extrapyramidal motor function;HP:0002071	17435591		False	3	50;50;0	0.264	True		ENSG00000123191	ENSG00000123191	HGNC:870													
C19orf12	gene	C19orf12	Expert Review Green;Melbourne Genomics Health Alliance Complex Neurology Flagship;Victorian Clinical Genetics Services	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	Unknown				Abnormality of extrapyramidal motor function;HP:0002071			False	3	100;0;0	0.264	False		ENSG00000131943	ENSG00000131943	HGNC:25443													
C9orf3	gene	C9orf3	Expert Review Green;Literature	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Dystonia 31, MIM# 619565;Childhood/Adolescence onset generalised dystonia;Dystonia parkinsonism;Zech-Boesch Syndrome			Abnormality of extrapyramidal motor function;HP:0002071	PMID: 35306330		False	3	100;0;0	0.264	True		ENSG00000148120	ENSG00000148120	HGNC:1361													
CHCHD2	gene	CHCHD2	Expert list;Expert Review Green	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Parkinson disease 22, autosomal dominant MIM#616710			Abnormality of extrapyramidal motor function;HP:0002071	32068847;25662902;31600778;26705026		False	3	100;0;0	0.264	False		ENSG00000106153	ENSG00000106153	HGNC:21645													
CLN3	gene	CLN3	Expert Review Green;Melbourne Genomics Health Alliance Complex Neurology Flagship;Victorian Clinical Genetics Services	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Ceroid lipofuscinosis, neuronal, 3 MIM#204200			Abnormality of extrapyramidal motor function;HP:0002071	19489875;11342698		False	3	100;0;0	0.264	True		ENSG00000188603	ENSG00000188603	HGNC:2074													
CP	gene	CP	Expert Review Green;Melbourne Genomics Health Alliance Complex Neurology Flagship;Victorian Clinical Genetics Services	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Aceruloplasminaemia, MIM#604290			Abnormality of extrapyramidal motor function;HP:0002071			False	3	100;0;0	0.264	True		ENSG00000047457	ENSG00000047457	HGNC:2295													
CSF1R	gene	CSF1R	Expert Review Green;Melbourne Genomics Health Alliance Complex Neurology Flagship;Victorian Clinical Genetics Services	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	Unknown				Abnormality of extrapyramidal motor function;HP:0002071			False	3	100;0;0	0.264	False		ENSG00000182578	ENSG00000182578	HGNC:2433													
CYP27A1	gene	CYP27A1	Expert Review Green;Literature	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Cerebrotendinous xanthomatosis, MIM#	213700;Cerebrotendinous xanthomatosis,  infantile-onset diarrhoea, juvenile-onset cataract, young adult-onset tendon xanthomas;Epilepsy;Parkinsonism;Ataxia;Peripheral neuropathy"			Abnormality of extrapyramidal motor function;HP:0002071	PMID: 30054180		False	3	100;0;0	0.264	True		ENSG00000135929	ENSG00000135929	HGNC:2605													
DCTN1	gene	DCTN1	Expert Review Green;Melbourne Genomics Health Alliance Complex Neurology Flagship;Victorian Clinical Genetics Services	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	Unknown				Abnormality of extrapyramidal motor function;HP:0002071			False	3	100;0;0	0.264	False		ENSG00000204843	ENSG00000204843	HGNC:2711													
DNAJC12	gene	DNAJC12	Expert Review;Expert Review Green	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Hyperphenylalaninemia, mild, non-BH4-deficient, MIM#617384			Abnormality of extrapyramidal motor function;HP:0002071			False	3	100;0;0	0.264	True		ENSG00000108176	ENSG00000108176	HGNC:28908													
DNAJC5	gene	DNAJC5	Expert Review Green;Melbourne Genomics Health Alliance Complex Neurology Flagship;Victorian Clinical Genetics Services	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Ceroid lipofuscinosis, neuronal, 4, Parry type, MIM# 162350			Abnormality of extrapyramidal motor function;HP:0002071	22978711;21820099;22235333		False	3	100;0;0	0.264	True		ENSG00000101152	ENSG00000101152	HGNC:16235													
DNAJC6	gene	DNAJC6	Expert Review Green;Melbourne Genomics Health Alliance Complex Neurology Flagship;Victorian Clinical Genetics Services	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	Unknown				Abnormality of extrapyramidal motor function;HP:0002071			False	3	100;0;0	0.264	False		ENSG00000116675	ENSG00000116675	HGNC:15469													
EIF2AK2	gene	EIF2AK2	Expert Review Green;Literature	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Leukoencephalopathy, developmental delay, and episodic neurologic regression syndrome, MIM# 618877;Neurodevelopmental Syndrome;Developmental delays;Ataxia;Parkinsonism;White matter alterations			Abnormality of extrapyramidal motor function;HP:0002071	PMID: 32197074		False	3	100;0;0	0.264	True		ENSG00000055332	ENSG00000055332	HGNC:9437													
FBXO7	gene	FBXO7	Expert Review Green;Melbourne Genomics Health Alliance Complex Neurology Flagship;Victorian Clinical Genetics Services	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	Unknown				Abnormality of extrapyramidal motor function;HP:0002071			False	3	100;0;0	0.264	False		ENSG00000100225	ENSG00000100225	HGNC:13586													
FOXG1	gene	FOXG1	Expert Review Green;Literature	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	"Rett syndrome, congenital variant, MIM#	613454;Developmental and Epileptic Encephalopathy;Dystonia,;Athetosis;Parkinsonism;Stereotypies"			Abnormality of extrapyramidal motor function;HP:0002071	PMID: 21953941		False	3	100;0;0	0.264	True		ENSG00000176165	ENSG00000176165	HGNC:3811													
FRRS1L	gene	FRRS1L	Expert Review Green;Literature	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Developmental and epileptic encephalopathy 37, MIM# 616981;Seizures;Chorea;Parkinsonism;Developmental delay			Abnormality of extrapyramidal motor function;HP:0002071	PMID: 29086067		False	3	100;0;0	0.264	True		ENSG00000260230	ENSG00000260230	HGNC:1362													
FTL	gene	FTL	Expert Review Green;Melbourne Genomics Health Alliance Complex Neurology Flagship;Victorian Clinical Genetics Services	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	Unknown				Abnormality of extrapyramidal motor function;HP:0002071			False	3	100;0;0	0.264	False		ENSG00000087086	ENSG00000087086	HGNC:3999													
GBA	gene	GBA	Expert Review Green;Literature	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Parkinson's disease, MONDO:0005180, GBA-related			Abnormality of extrapyramidal motor function;HP:0002071	PMID: 12809640;35639160		False	3	100;0;0	0.264	True		ENSG00000177628	ENSG00000177628	HGNC:4177													
GCH1	gene	GCH1	Expert Review Green;Melbourne Genomics Health Alliance Complex Neurology Flagship;Victorian Clinical Genetics Services	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Dystonia, DOPA-responsive, with or without hyperphenylalaninemia, MIM# 128230			Abnormality of extrapyramidal motor function;HP:0002071	32170445;32278297;32746945;30314816		False	3	100;0;0	0.264	True		ENSG00000131979	ENSG00000131979	HGNC:4193													
GLB1	gene	GLB1	Expert Review Green;Literature	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	GM1-gangliosidosis, type III , MIM#230650;Parkinsonism			Abnormality of extrapyramidal motor function;HP:0002071	PMID: 34514040		False	3	100;0;0	0.264	True		ENSG00000170266	ENSG00000170266	HGNC:4298													
GRN	gene	GRN	Expert Review Green;Melbourne Genomics Health Alliance Complex Neurology Flagship;Victorian Clinical Genetics Services	Early-onset Parkinson disease		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Frontotemporal lobar degeneration with ubiquitin-positive inclusions, MIM# 607485			Abnormality of extrapyramidal motor function;HP:0002071	17923627;20301545		False	3	100;0;0	0.264	False		ENSG00000030582	ENSG00000030582	HGNC:4601													
