Gene	Genomic location HG19	HGVS	RefSeq	RS-number
DCAF17	Chr2:172305176	c.322-14delC	NM_025000.3	rs201494527
GCH1	Chr14:55369403	c.-22C>T	NM_000161.2	
PRRT2	Chr16:29825620	c.*345G>A	NM_001256443.1	
SLC2A1	Chr1:43395462	c.680-11G>A	NM_006516.2	
SLC2A1	Chr1:43424429	c.-107G>A	NM_006516.2	
SPR	Chr2:73114549	c.-13G>A	NM_003124.4	rs750423023
TH	Chr11:2187017	c.1198-24T>A	NM_199292.2	
TH	Chr11:2188749	c.738-34G>C	NM_199292.2	
TH	Chr11:2193085	c.-69T>A	NM_199292.2	
TH	Chr11:2193086	c.-70G>A	NM_199292.2	
TH	Chr11:2193087	c.-71C>T	NM_199292.2	rs549435434
THAP1	Chr8:42692948	c.*157T>C	NM_018105.2	rs563463528
THAP1	Chr8:42698457	c.-220C>T	NM_018105.2	
