Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ADNP	gene	ADNP	Expert Review Green;Victorian Clinical Genetics Services	Autism		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Helsmoortel-van der Aa syndrome MIM#615873;MONDO:0014379			Autism;HP:0000717	24531329;25057125;25533962;29724491;29911927		False	3	100;0;0	0.195	True		ENSG00000101126	ENSG00000101126	HGNC:15766													
ADSL	gene	ADSL	Expert Review Green;Victorian Clinical Genetics Services	Autism		Neurology and neurodevelopmental disorders	Unknown				Autism;HP:0000717			False	3	0;0;0	0.195	False		ENSG00000239900	ENSG00000239900	HGNC:291													
AHDC1	gene	AHDC1	Expert Review Green;Victorian Clinical Genetics Services	Autism		Neurology and neurodevelopmental disorders	Unknown				Autism;HP:0000717			False	3	0;0;0	0.195	False		ENSG00000126705	ENSG00000126705	HGNC:25230													
AHI1	gene	AHI1	Expert Review Green;Victorian Clinical Genetics Services	Autism		Neurology and neurodevelopmental disorders	Unknown				Autism;HP:0000717			False	3	0;0;0	0.195	False		ENSG00000135541	ENSG00000135541	HGNC:21575													
ALDH5A1	gene	ALDH5A1	Expert Review Green;Victorian Clinical Genetics Services	Autism		Neurology and neurodevelopmental disorders	Unknown				Autism;HP:0000717			False	3	0;0;0	0.195	False		ENSG00000112294	ENSG00000112294	HGNC:408													
ALG6	gene	ALG6	Expert Review Green;Victorian Clinical Genetics Services	Autism		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Ic (MIM#603147)			Autism;HP:0000717	10914684;27498540		False	3	100;0;0	0.195	True		ENSG00000088035	ENSG00000088035	HGNC:23157													
ANK2	gene	ANK2	Expert Review Green;Victorian Clinical Genetics Services	Autism		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Complex neurodevelopmental disorder, MONDO:0100038			Autism;HP:0000717	22542183;25363768;27479843;28554332;30564305;30755392;31981491;33004838;33057194		False	3	100;0;0	0.195	True		ENSG00000145362	ENSG00000145362	HGNC:493													
ANKRD11	gene	ANKRD11	Expert Review Green;Victorian Clinical Genetics Services	Autism		Neurology and neurodevelopmental disorders	Unknown				Autism;HP:0000717			False	3	0;0;0	0.195	False		ENSG00000167522	ENSG00000167522	HGNC:21316													
ARID1B	gene	ARID1B	Expert Review Green;Victorian Clinical Genetics Services	Autism		Neurology and neurodevelopmental disorders	Unknown				Autism;HP:0000717			False	3	0;0;0	0.195	False		ENSG00000049618	ENSG00000049618	HGNC:18040													
ARX	gene	ARX	Expert Review Green;Victorian Clinical Genetics Services	Autism		Neurology and neurodevelopmental disorders	Unknown				Autism;HP:0000717			False	3	0;0;0	0.195	False		ENSG00000004848	ENSG00000004848	HGNC:18060													
