Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ABAT	gene	ABAT	Expert Review Green;London North GLH	Childhood onset dystonia, chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	GABA-transaminase deficiency 613163						False	3	100;0;0	3.55	False		ENSG00000183044	ENSG00000183044	HGNC:23													
ACER3	gene	ACER3	Expert Review Green;Literature;NHS GMS	Childhood onset dystonia, chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Leukodystrophy, progressive, early childhood-onset, OMIM:617762				26792856;32816236;34281620		False	3	67;33;0	3.55	False		ENSG00000078124	ENSG00000078124	HGNC:16066													
ACOX1	gene	ACOX1	Expert Review Green;London North GLH	Childhood onset dystonia, chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Peroxisomal acyl-CoA oxidase deficiency, OMIM:264470						False	3	100;0;0	3.55	False		ENSG00000161533	ENSG00000161533	HGNC:119													
ACTB	gene	ACTB	Expert Review Green;South West GLH	Childhood onset dystonia, chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	?Dystonia, juvenile-onset;Baraitser-Winter syndrome 1, 243310				16685646		False	3	100;0;0	3.55	False		ENSG00000075624	ENSG00000075624	HGNC:132													
ADAR	gene	ADAR	Expert Review Green;London North GLH;NHS GMS;PanelApp	Childhood onset dystonia, chorea or related movement disorder			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Aicardi-Goutieres syndrome 6, OMIM:615010;Dyschromatosis symmetrica hereditaria, OMIM:127400				28139822;23001123		False	3	100;0;0	3.55	False		ENSG00000160710	ENSG00000160710	HGNC:225													
ADCY5	gene	ADCY5	Expert Review Green;London North GLH;PanelApp	Childhood onset dystonia, chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Dyskinesia, familial, with facial myokymia, 606703;dystonia;Familial dyskinesia, 606703				11310626;24700542		False	3	100;0;0	3.55	False		ENSG00000173175	ENSG00000173175	HGNC:236													
AFG3L2	gene	AFG3L2	Expert Review Green;London North GLH;South West GLH	Childhood onset dystonia, chorea or related movement disorder			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Spastic ataxia 5, autosomal recessive, OMIM:614487				22964162;16541453;32219868;25401298		False	3	25;25;50	3.55	False		ENSG00000141385	ENSG00000141385	HGNC:315													
ALDH18A1	gene	ALDH18A1	Expert Review Green;London North GLH	Childhood onset dystonia, chorea or related movement disorder			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Cutis laxa, autosomal dominant 3 OMIM:616603;cutis laxa, autosomal dominant 3 MONDO:0014706;Cutis laxa, autosomal recessive, type IIIA OMIM:219150;ALDH18A1-related de Barsy syndromeMONDO:0009053;Spastic paraplegia 9A, autosomal dominant OMIM:601162;hereditary spastic paraplegia 9A MONDO:0011006;Spastic paraplegia 9B, autosomal recessive OMIM:616586;autosomal recessive complex spastic paraplegia type 9B MONDO:0014702						False	3	50;0;50	3.55	False		ENSG00000059573	ENSG00000059573	HGNC:9722													
ANO3	gene	ANO3	Expert Review Green;London North GLH;PanelApp	Childhood onset dystonia, chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Dystonia 24, 615034;familial form of cranio-cervical dystonia				25847575;24151159 Low frequency missense variants in ANO3 occur in both cases and controls, warranting further assessment of this gene in PTD pathogenesis;23200863;24094724 Rare variants in ANO3 are not a susceptibility factor in essential tremor;27392807;24442708		False	3	100;0;0	3.55	False		ENSG00000134343	ENSG00000134343	HGNC:14004													
AP1S2	gene	AP1S2	Expert Review Green;London North GLH;PanelApp	Childhood onset dystonia, chorea or related movement disorder			X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Pettigrew syndrome, OMIM:304340;Dystonia				10398241;12599187;17186471;17617514;18428203;19377476;22210230;23756445;25649377;30383884;30714330		False	3	100;0;0	3.55	False		ENSG00000182287	ENSG00000182287	HGNC:560													
APTX	gene	APTX	Expert Review Green;London North GLH;PanelApp	Childhood onset dystonia, chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Dystonia;Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia, 208920						False	3	100;0;0	3.55	False		ENSG00000137074	ENSG00000137074	HGNC:15984													
ARFGEF3	gene	ARFGEF3	Expert Review Green;Literature;NHS GMS	Childhood onset dystonia, chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	early-onset generalized dystonia, MONDO:0100016				33098801		False	3	100;0;0	3.55	False		ENSG00000112379	ENSG00000112379	HGNC:21213													
