Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACTB	gene	ACTB	Expert Review Green;Royal Melbourne Hospital	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Baraitser-Winter syndrome 1, 243310;Dystonia, juvenile-onset, 607371			Dystonia;HP:0001332	29788902;28487785		False	3	100;0;0	1.126	True	Other	ENSG00000075624	ENSG00000075624	HGNC:132													
ADAR	gene	ADAR	Expert Review Green;Royal Melbourne Hospital	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	dystonia;Aicardi-Goutieres syndrome 6, 615010			Dystonia;HP:0001332			False	3	0;0;0	1.126	False		ENSG00000160710	ENSG00000160710	HGNC:225													
ADCY5	gene	ADCY5	Expert Review Green;Royal Melbourne Hospital	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Dyskinesia, familial, with facial myokymia, MIM# 606703;MONDO:0011707;Hyperkinetic movement disorder with dyskinesia, myoclonus, chorea, and dystonia-2 (HYDMCD2), MIM#619647;Neurodevelopmental disorder with hyperkinetic movements and dyskinesia (NEDHYD), MIM#619651			Dystonia;HP:0001332	22782511;24700542;33051786;32647899;33704598;34631954;28971144;30975617		False	3	100;0;0	1.126	True		ENSG00000173175	ENSG00000173175	HGNC:236													
ADCY5	gene	ADCY5	Expert Review Green;Royal Children's Hospital Neurology Department;Victorian Clinical Genetics Services	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Dyskinesia, familial, with facial myokymia, MIM# 606703;MONDO:0011707;Hyperkinetic movement disorder with dyskinesia, myoclonus, chorea, and dystonia-2 (HYDMCD2), MIM#619647;Neurodevelopmental disorder with hyperkinetic movements and dyskinesia (NEDHYD), MIM#619651			Dystonia;HP:0001332	22782511;24700542;33051786;32647899;33704598;34631954;28971144;30975617		False	3	100;0;0	1.126	True		ENSG00000173175	ENSG00000173175	HGNC:236													
ANO3	gene	ANO3	Expert Review Green;Royal Melbourne Hospital	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Dystonia 24, 615034;familial form of cranio-cervical dystonia			Dystonia;HP:0001332	33388357		False	3	100;0;0	1.126	True		ENSG00000134343	ENSG00000134343	HGNC:14004													
APTX	gene	APTX	Expert Review Green;Royal Melbourne Hospital	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Ataxia-oculomotor apraxia type 1;Dystonia			Dystonia;HP:0001332			False	3	0;0;0	1.126	False		ENSG00000137074	ENSG00000137074	HGNC:15984													
ARFGEF3	gene	ARFGEF3	Expert Review Green;Literature	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Dystonia, MONDO:0044807, ARFGEF3-related			Dystonia;HP:0001332	PMID: 33098801		False	3	100;0;0	1.126	True		ENSG00000112379	ENSG00000112379	HGNC:21213													
ARSA	gene	ARSA	Expert Review Green;Expert list	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Metachromatic leukodystrophy, MIM#250100			Dystonia;HP:0001332			False	3	100;0;0	1.126	True		ENSG00000100299	ENSG00000100299	HGNC:713													
ARX	gene	ARX	Expert Review Green;Royal Melbourne Hospital	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Partington syndrome, MIM# 309510;Dystonia			Dystonia;HP:0001332	11889467;15200506		False	3	100;0;0	1.126	True	Other	ENSG00000004848	ENSG00000004848	HGNC:18060													
ATAD1	gene	ATAD1	Expert Review Green;Expert list	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Hyperekplexia 4, MIM#618011			Dystonia;HP:0001332	28180185;29390050;29659736		False	3	100;0;0	1.126	True		ENSG00000138138	ENSG00000138138	HGNC:25903													
ATM	gene	ATM	Expert Review Green;Royal Melbourne Hospital	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Ataxia telangiectasia;Dystonia			Dystonia;HP:0001332			False	3	0;0;0	1.126	False		ENSG00000149311	ENSG00000149311	HGNC:795													
ATP13A2	gene	ATP13A2	Expert Review Green;Royal Melbourne Hospital	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Parkinson disease;Kufor-Rakeb syndrome 606693;Dystonia			Dystonia;HP:0001332			False	3	0;0;0	1.126	False		ENSG00000159363	ENSG00000159363	HGNC:30213													
ATP1A2	gene	ATP1A2	Royal Children's Hospital Neurology Department;Expert Review Green;Victorian Clinical Genetics Services	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	Unknown				Dystonia;HP:0001332			False	3	0;0;0	1.126	False		ENSG00000018625	ENSG00000018625	HGNC:800													
ATP1A3	gene	ATP1A3	Expert Review Green;Royal Melbourne Hospital	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Dystonia-12, MIM# 128235;Rapid dystonia-parkinsonism MONDO:0007496			Dystonia;HP:0001332	15260953;17282997;19351654		False	3	100;0;0	1.126	True		ENSG00000105409	ENSG00000105409	HGNC:801													
ATP1A3	gene	ATP1A3	Royal Children's Hospital Neurology Department;Expert Review Green;Victorian Clinical Genetics Services	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	Unknown				Dystonia;HP:0001332			False	3	0;0;0	1.126	False		ENSG00000105409	ENSG00000105409	HGNC:801													
ATP2B2	gene	ATP2B2	Expert Review Green;Literature	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Neurodevelopmental Disorder, MONDO:0700092, ATP2B2-related			Dystonia;HP:0001332	PMID: 37675773		False	3	100;0;0	1.126	True	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000157087	ENSG00000157087	HGNC:815													
ATP5G3	gene	ATP5G3	Expert Review Green;Literature	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"Dystonia, early-onset, and/or spastic paraplegia, MIM#	619681"			Dystonia;HP:0001332	34636445;34954817		False	3	100;0;0	1.126	True		ENSG00000154518	ENSG00000154518	HGNC:843													
ATP7B	gene	ATP7B	Expert Review Green;Royal Melbourne Hospital	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Wilson disease, MIM# 277900;Dystonia			Dystonia;HP:0001332	32662046		False	3	100;0;0	1.126	True		ENSG00000123191	ENSG00000123191	HGNC:870													
AUH	gene	AUH	Expert Review Green;Royal Melbourne Hospital	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	3-Methylglutaconic aciduria type 1;Dystonia			Dystonia;HP:0001332			False	3	100;0;0	1.126	True		ENSG00000148090	ENSG00000148090	HGNC:890													
BCAP31	gene	BCAP31	Expert Review Green;Royal Melbourne Hospital	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Deafness, dystonia and cerebellar hypomyelination, 300475			Dystonia;HP:0001332			False	3	0;0;0	1.126	False		ENSG00000185825	ENSG00000185825	HGNC:16695													
C19orf12	gene	C19orf12	Expert Review Green;Royal Melbourne Hospital	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	mitochondrial membrane protein-associated neurodegeneration;neurodegeneration with brain iron accumulation-4;Dystonia			Dystonia;HP:0001332			False	3	0;0;0	1.126	False		ENSG00000131943	ENSG00000131943	HGNC:25443													
C9orf3	gene	C9orf3	Expert Review Green;Literature	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Dystonia 31, MIM#	619565"			Dystonia;HP:0001332	34596301		False	3	100;0;0	1.126	True		ENSG00000148120	ENSG00000148120	HGNC:1361													
CACNA1A	gene	CACNA1A	Expert Review Green;Expert list	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Episodic ataxia, type 2 MIM#108500;Spinocerebellar ataxia 6 MIM#183086			Dystonia;HP:0001332	25468264;23441182;19232643;18758887;11344116		False	3	100;0;0	1.126	True		ENSG00000141837	ENSG00000141837	HGNC:1388													
CACNA1A	gene	CACNA1A	Royal Children's Hospital Neurology Department;Expert Review Green;Victorian Clinical Genetics Services	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	Unknown				Dystonia;HP:0001332			False	3	0;0;0	1.126	False		ENSG00000141837	ENSG00000141837	HGNC:1388													
CACNA1G	gene	CACNA1G	Expert Review Green;Expert list	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"Spinocerebellar ataxia 42, early-onset, severe, with neurodevelopmental deficits, MIM#	618087"			Dystonia;HP:0001332	29878067		False	3	100;0;0	1.126	True		ENSG00000006283	ENSG00000006283	HGNC:1394													
CACNA1S	gene	CACNA1S	Expert Review Green;Royal Children's Hospital Neurology Department;Victorian Clinical Genetics Services	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hypokalemic periodic paralysis, type 1, MIM# 170400			Dystonia;HP:0001332	11591859		False	3	100;0;0	1.126	True		ENSG00000081248	ENSG00000081248	HGNC:1397													
CAMK4	gene	CAMK4	Expert Review Green;Expert Review	Dystonia_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Intellectual disability;Autism;Behavioral abnormality;Abnormality of movement;Dystonia;Ataxia;Chorea;Myoclonus			Dystonia;HP:0001332	30262571;33098801;33211350		False	3	100;0;0	1.126	True		ENSG00000152495	ENSG00000152495	HGNC:1464													
